time,Y,X,LAPrec1901
1903-07-01,2740000.0,4250000.0,123.0
1903-07-01,2740000.0,4255000.0,128.0
1903-07-01,2740000.0,4260000.0,132.0
1903-08-01,2725000.0,4250000.0,103.0
1903-08-01,2725000.0,4255000.0,101.0
1903-08-01,2725000.0,4260000.0,99.0
1903-08-01,2730000.0,4250000.0,99.0
1903-08-01,2730000.0,4255000.0,99.0
1903-08-01,2730000.0,4260000.0,97.0
1903-08-01,2735000.0,4250000.0,97.0
1903-08-01,2735000.0,4255000.0,101.0
1903-08-01,2735000.0,4260000.0,99.0
1903-08-01,2740000.0,4250000.0,101.0
1903-08-01,2740000.0,4255000.0,105.0
1903-08-01,2740000.0,4260000.0,107.0
1903-09-01,2725000.0,4250000.0,49.0
1903-09-01,2725000.0,4255000.0,48.0
1903-09-01,2725000.0,4260000.0,47.0
1903-09-01,2730000.0,4250000.0,47.0
1903-09-01,2730000.0,4255000.0,46.0
1903-09-01,2730000.0,4260000.0,44.0
1903-09-01,2735000.0,4250000.0,42.0
1903-09-01,2735000.0,4255000.0,43.0
1903-09-01,2735000.0,4260000.0,42.0
1903-09-01,2740000.0,4250000.0,42.0
1903-09-01,2740000.0,4255000.0,44.0
1903-09-01,2740000.0,4260000.0,46.0
1903-10-01,2725000.0,4250000.0,83.0
1903-10-01,2725000.0,4255000.0,81.0
1903-10-01,2725000.0,4260000.0,78.0
1903-10-01,2730000.0,4250000.0,82.0
1903-10-01,2730000.0,4255000.0,78.0
1903-10-01,2730000.0,4260000.0,73.0
1903-10-01,2735000.0,4250000.0,74.0
1903-10-01,2735000.0,4255000.0,73.0
1903-10-01,2735000.0,4260000.0,69.0
1903-10-01,2740000.0,4250000.0,73.0
1903-10-01,2740000.0,4255000.0,74.0
1903-10-01,2740000.0,4260000.0,74.0
1903-11-01,2725000.0,4250000.0,89.0
1903-11-01,2725000.0,4255000.0,89.0
1903-11-01,2725000.0,4260000.0,88.0
1903-11-01,2730000.0,4250000.0,87.0
1903-11-01,2730000.0,4255000.0,84.0
1903-11-01,2730000.0,4260000.0,81.0
1903-11-01,2735000.0,4250000.0,76.0
1903-11-01,2735000.0,4255000.0,77.0
1903-11-01,2735000.0,4260000.0,75.0
1903-11-01,2740000.0,4250000.0,73.0
1903-11-01,2740000.0,4255000.0,76.0
1903-11-01,2740000.0,4260000.0,78.0
1903-12-01,2725000.0,4250000.0,20.0
1903-12-01,2725000.0,4255000.0,19.0
1903-12-01,2725000.0,4260000.0,19.0
