time,lat,lon,prAdjust
1950-01-01,50.25,7.0,37.531292
1950-01-01,50.25,7.25,36.61529
1950-01-01,50.25,7.5,36.768703
1950-01-01,50.25,7.75,35.367905
1950-01-01,50.25,8.0,41.107983
1950-01-01,50.25,8.25,40.60507
1950-01-01,50.25,8.5,52.775322
1950-01-01,50.25,8.75,47.422188
1950-01-01,50.25,9.0,46.03843
1950-01-01,50.25,9.25,41.796104
1950-01-01,50.25,9.5,44.87259
1950-01-01,50.25,9.75,44.93504
1950-01-01,50.25,10.0,38.849262
1950-01-01,50.25,10.25,39.773277
1950-01-01,50.25,10.5,36.83692
1950-01-01,50.25,10.75,38.90682
1950-01-01,50.25,11.0,39.741367
1950-01-01,50.25,11.25,44.035206
1950-01-01,50.25,11.5,48.553204
1950-01-01,50.25,11.75,53.473816
1950-01-01,50.25,12.0,64.37958
1950-01-01,50.25,12.25,55.790718
1950-01-01,50.25,12.5,52.432064
1950-01-01,50.25,12.75,58.861633
1950-01-01,50.25,13.0,70.42575
1950-01-01,50.25,13.25,71.56935
1950-01-01,50.25,13.5,55.35169
1950-01-01,50.25,13.75,57.99641
1950-01-01,50.25,14.0,80.52689
1950-01-01,50.25,14.25,88.28947
1950-01-01,50.25,14.5,79.37563
1950-01-01,50.25,14.75,57.460938
1950-01-01,50.25,15.0,52.961693
1950-01-01,50.5,5.75,57.6815
1950-01-01,50.5,6.0,65.17201
1950-01-01,50.5,6.25,64.33226
1950-01-01,50.5,6.5,58.120483
1950-01-01,50.5,6.75,45.405457
1950-01-01,50.5,7.0,70.38496
1950-01-01,50.5,7.25,56.785652
1950-01-01,50.5,7.5,41.0429
1950-01-01,50.5,7.75,43.116077
1950-01-01,50.5,8.0,39.86982
1950-01-01,50.5,8.25,39.001656
1950-01-01,50.5,8.5,35.929268
1950-01-01,50.5,8.75,31.658325
1950-01-01,50.5,9.0,34.95267
1950-01-01,50.5,9.25,52.095226
1950-01-01,50.5,9.5,50.65474
1950-01-01,50.5,9.75,55.5308
1950-01-01,50.5,10.0,43.770973
1950-01-01,50.5,10.25,41.297356
1950-01-01,50.5,10.5,41.600235
1950-01-01,50.5,10.75,50.660984
1950-01-01,50.5,11.0,44.82336
1950-01-01,50.5,11.25,51.69406
1950-01-01,50.5,11.5,55.24531
1950-01-01,50.5,11.75,64.551895
1950-01-01,50.5,12.0,67.5263
