time,lat,lon,realization,magnitude_of_meteorological_droughts (dmd)
1940-01-01,50.5,8.0,0,0.0
1940-01-01,50.5,8.25,0,0.0
1940-01-01,50.5,8.5,0,3.331551782969465
1940-01-01,50.5,8.75,0,0.0
1940-01-01,50.5,9.0,0,0.0
1940-01-01,50.5,9.25,0,0.0
1940-01-01,50.5,9.5,0,2.395809772095215
1940-01-01,50.5,9.75,0,2.20568449731892
1940-01-01,50.5,10.0,0,0.0
1940-01-01,50.5,10.25,0,1.6744869646560814
1940-01-01,50.5,10.5,0,1.6877659935082172
1940-01-01,50.5,10.75,0,0.0
1940-01-01,50.5,11.0,0,1.5260768067352168
1940-01-01,50.5,11.25,0,1.4525321614780844
1940-01-01,50.5,11.5,0,0.0
1940-01-01,50.5,11.75,0,0.0
1940-01-01,50.5,12.0,0,0.0
1940-01-01,50.5,12.25,0,0.0
1940-01-01,50.5,12.5,0,0.0
1940-01-01,50.5,12.75,0,0.0
1940-01-01,50.5,13.0,0,0.0
1940-01-01,50.5,13.25,0,3.2581947531583073
1940-01-01,50.5,13.5,0,2.893223693820886
1940-01-01,50.5,13.75,0,2.476917193000422
1940-01-01,50.5,14.0,0,0.0
1940-01-01,50.5,14.25,0,0.0
1940-01-01,50.5,14.5,0,0.0
1940-01-01,50.5,14.75,0,0.0
1940-01-01,50.5,15.0,0,0.0
1940-01-01,50.75,5.75,0,6.4842550125527625
1940-01-01,50.75,6.0,0,6.998023375009867
1940-01-01,50.75,6.25,0,5.6442069807989395
1940-01-01,50.75,6.5,0,6.3486626402565705
1940-01-01,50.75,6.75,0,6.122702840336994
1940-01-01,50.75,7.0,0,4.546996589475624
1940-01-01,50.75,7.25,0,3.603887064456286
1940-01-01,50.75,7.5,0,2.923831688019278
1940-01-01,50.75,7.75,0,0.0
1940-01-01,50.75,8.0,0,0.0
1940-01-01,50.75,8.25,0,0.0
1940-01-01,50.75,8.5,0,0.0
1940-01-01,50.75,8.75,0,0.0
1940-01-01,50.75,9.0,0,0.0
1940-01-01,50.75,9.25,0,0.0
1940-01-01,50.75,9.5,0,0.0
1940-01-01,50.75,9.75,0,0.0
1940-01-01,50.75,10.0,0,0.0
1940-01-01,50.75,10.25,0,1.4401878600318259
1940-01-01,50.75,10.5,0,1.4266641511306557
1940-01-01,50.75,10.75,0,1.4274102199281313
1940-01-01,50.75,11.0,0,1.2745171007946479
1940-01-01,50.75,11.25,0,0.0
1940-01-01,50.75,11.5,0,0.0
1940-01-01,50.75,11.75,0,0.0
1940-01-01,50.75,12.0,0,0.0
1940-01-01,50.75,12.25,0,0.0
1940-01-01,50.75,12.5,0,0.0
1940-01-01,50.75,12.75,0,0.0
1940-01-01,50.75,13.0,0,0.0
1940-01-01,50.75,13.25,0,3.1020229936849653
1940-01-01,50.75,13.5,0,3.4714389172222853
1940-01-01,50.75,13.75,0,4.847246738796744
1940-01-01,50.75,14.0,0,0.0
1940-01-01,50.75,14.25,0,0.0
1940-01-01,50.75,14.5,0,0.0
1940-01-01,50.75,14.75,0,3.6073382210331983
1940-01-01,50.75,15.0,0,3.5469523888825316
1940-01-01,51.0,5.75,0,6.956254113652485
1940-01-01,51.0,6.0,0,7.061854367482615
1940-01-01,51.0,6.25,0,4.926317711937117
1940-01-01,51.0,6.5,0,4.38859083891771
1940-01-01,51.0,6.75,0,3.7683044938011054
1940-01-01,51.0,7.0,0,3.3022851883188764
1940-01-01,51.0,7.25,0,2.788703484154917
1940-01-01,51.0,7.5,0,0.0
1940-01-01,51.0,7.75,0,0.0
1940-01-01,51.0,8.0,0,3.0296821864292176
1940-01-01,51.0,8.25,0,0.0
1940-01-01,51.0,8.5,0,0.0
1940-01-01,51.0,8.75,0,0.0
1940-01-01,51.0,9.0,0,0.0
1940-01-01,51.0,9.25,0,0.0
1940-01-01,51.0,9.5,0,0.0
1940-01-01,51.0,9.75,0,0.0
1940-01-01,51.0,10.0,0,0.0
1940-01-01,51.0,10.25,0,0.0
1940-01-01,51.0,10.5,0,0.0
1940-01-01,51.0,10.75,0,1.033646668079916
1940-01-01,51.0,11.0,0,0.0
1940-01-01,51.0,11.25,0,0.0
1940-01-01,51.0,11.5,0,0.0
1940-01-01,51.0,11.75,0,0.0
1940-01-01,51.0,12.0,0,0.0
1940-01-01,51.0,12.25,0,1.2264198414739096
1940-01-01,51.0,12.5,0,0.0
1940-01-01,51.0,12.75,0,0.0
1940-01-01,51.0,13.0,0,0.0
1940-01-01,51.0,13.25,0,2.356099872101892
1940-01-01,51.0,13.5,0,5.239055288432903
1940-01-01,51.0,13.75,0,5.810302704339033
1940-01-01,51.0,14.0,0,6.559804168405593
1940-01-01,51.0,14.25,0,6.9239005008135255
1940-01-01,51.0,14.5,0,6.399148301833009
1940-01-01,51.0,14.75,0,5.334003197838384
1940-01-01,51.0,15.0,0,3.915047648840099
1940-01-01,51.25,5.75,0,4.686215867221512
1940-01-01,51.25,6.0,0,4.759819372189881
1940-01-01,51.25,6.25,0,4.891971156470326
1940-01-01,51.25,6.5,0,4.559213526346806
1940-01-01,51.25,6.75,0,4.132142487363384
1940-01-01,51.25,7.0,0,3.843061365754886
1940-01-01,51.25,7.25,0,3.8548037394003765
1940-01-01,51.25,7.5,0,3.812136159257431
