time,lat,lon,realization,total_precipitation (tp)
1940-01-01,49.75,6.75,0,895.91693
1940-01-01,49.75,7.0,0,906.573
1940-01-01,49.75,7.25,0,772.8456
1940-01-01,49.75,7.5,0,685.68036
1940-01-01,49.75,7.75,0,644.4524
1940-01-01,49.75,8.0,0,632.2686
1940-01-01,49.75,8.25,0,625.2508
1940-01-01,49.75,8.5,0,661.4397
1940-01-01,49.75,8.75,0,783.01624
1940-01-01,49.75,9.0,0,829.376
1940-01-01,49.75,9.25,0,871.1405
1940-01-01,49.75,9.5,0,795.37054
1940-01-01,49.75,9.75,0,736.5537
1940-01-01,49.75,10.0,0,688.7996
1940-01-01,49.75,10.25,0,717.3457
1940-01-01,49.75,10.5,0,741.3723
1940-01-01,49.75,10.75,0,754.8518
1940-01-01,49.75,11.0,0,788.0829
1940-01-01,49.75,11.25,0,821.0122
1940-01-01,49.75,11.5,0,847.2664
1940-01-01,49.75,11.75,0,828.6836
1940-01-01,49.75,12.0,0,779.94775
1940-01-01,49.75,12.25,0,802.56744
1940-01-01,49.75,12.5,0,804.2772
1940-01-01,49.75,12.75,0,728.977
1940-01-01,49.75,13.0,0,648.1151
1940-01-01,49.75,13.25,0,598.96826
1940-01-01,49.75,13.5,0,617.4309
1940-01-01,49.75,13.75,0,659.4226
1940-01-01,49.75,14.0,0,634.696
1940-01-01,49.75,14.25,0,608.4489
1940-01-01,49.75,14.5,0,621.1545
1940-01-01,49.75,14.75,0,650.1346
1940-01-01,49.75,15.0,0,692.9093
1940-01-01,50.0,5.75,0,927.6958
1940-01-01,50.0,6.0,0,830.9077
1940-01-01,50.0,6.25,0,767.812
1940-01-01,50.0,6.5,0,733.2213
1940-01-01,50.0,6.75,0,768.27997
1940-01-01,50.0,7.0,0,779.4666
1940-01-01,50.0,7.25,0,744.328
1940-01-01,50.0,7.5,0,672.36
1940-01-01,50.0,7.75,0,630.8763
1940-01-01,50.0,8.0,0,682.00757
1940-01-01,50.0,8.25,0,680.91724
1940-01-01,50.0,8.5,0,716.83575
1940-01-01,50.0,8.75,0,682.403
1940-01-01,50.0,9.0,0,779.3374
1940-01-01,50.0,9.25,0,820.90454
1940-01-01,50.0,9.5,0,823.7423
1940-01-01,50.0,9.75,0,792.48755
1940-01-01,50.0,10.0,0,739.96497
1940-01-01,50.0,10.25,0,763.9739
1940-01-01,50.0,10.5,0,740.6559
1940-01-01,50.0,10.75,0,776.8025
1940-01-01,50.0,11.0,0,809.9523
1940-01-01,50.0,11.25,0,864.31006
1940-01-01,50.0,11.5,0,871.75134
1940-01-01,50.0,11.75,0,853.23596
1940-01-01,50.0,12.0,0,806.7484
1940-01-01,50.0,12.25,0,758.85754
1940-01-01,50.0,12.5,0,751.188
1940-01-01,50.0,12.75,0,679.12885
1940-01-01,50.0,13.0,0,631.60803
1940-01-01,50.0,13.25,0,585.0193
1940-01-01,50.0,13.5,0,603.3957
1940-01-01,50.0,13.75,0,602.4282
1940-01-01,50.0,14.0,0,605.6266
1940-01-01,50.0,14.25,0,579.4735
1940-01-01,50.0,14.5,0,582.0549
1940-01-01,50.0,14.75,0,597.72046
1940-01-01,50.0,15.0,0,641.76794
1940-01-01,50.25,5.75,0,957.3074
1940-01-01,50.25,6.0,0,982.5223
1940-01-01,50.25,6.25,0,930.1768
1940-01-01,50.25,6.5,0,868.11444
1940-01-01,50.25,6.75,0,773.813
1940-01-01,50.25,7.0,0,716.3968
1940-01-01,50.25,7.25,0,681.43866
1940-01-01,50.25,7.5,0,658.06793
1940-01-01,50.25,7.75,0,716.1796
1940-01-01,50.25,8.0,0,766.98615
1940-01-01,50.25,8.25,0,779.9246
1940-01-01,50.25,8.5,0,743.639
1940-01-01,50.25,8.75,0,667.4006
1940-01-01,50.25,9.0,0,775.79254
1940-01-01,50.25,9.25,0,877.6667
1940-01-01,50.25,9.5,0,909.79034
1940-01-01,50.25,9.75,0,878.6981
1940-01-01,50.25,10.0,0,821.244
1940-01-01,50.25,10.25,0,762.6168
1940-01-01,50.25,10.5,0,739.42896
1940-01-01,50.25,10.75,0,767.4088
1940-01-01,50.25,11.0,0,800.6208
1940-01-01,50.25,11.25,0,866.1564
1940-01-01,50.25,11.5,0,879.2799
1940-01-01,50.25,11.75,0,865.39056
1940-01-01,50.25,12.0,0,825.6096
1940-01-01,50.25,12.25,0,777.9468
1940-01-01,50.25,12.5,0,791.276
1940-01-01,50.25,12.75,0,751.43604
1940-01-01,50.25,13.0,0,704.18555
1940-01-01,50.25,13.25,0,626.8987
1940-01-01,50.25,13.5,0,526.19904
1940-01-01,50.25,13.75,0,504.46008
1940-01-01,50.25,14.0,0,525.357
1940-01-01,50.25,14.25,0,535.562
1940-01-01,50.25,14.5,0,551.72687
1940-01-01,50.25,14.75,0,567.308
1940-01-01,50.25,15.0,0,599.91504
1940-01-01,50.5,5.75,0,965.5459
1940-01-01,50.5,6.0,0,998.75854
1940-01-01,50.5,6.25,0,1004.71326
1940-01-01,50.5,6.5,0,892.725
1940-01-01,50.5,6.75,0,788.501
1940-01-01,50.5,7.0,0,729.9955
1940-01-01,50.5,7.25,0,767.45264
1940-01-01,50.5,7.5,0,744.803
1940-01-01,50.5,7.75,0,794.1585
1940-01-01,50.5,8.0,0,792.6133
1940-01-01,50.5,8.25,0,777.21136
1940-01-01,50.5,8.5,0,747.23883
1940-01-01,50.5,8.75,0,696.7566
1940-01-01,50.5,9.0,0,811.93994
1940-01-01,50.5,9.25,0,920.25665
1940-01-01,50.5,9.5,0,941.3289
1940-01-01,50.5,9.75,0,938.536
1940-01-01,50.5,10.0,0,887.2628
1940-01-01,50.5,10.25,0,818.2804
1940-01-01,50.5,10.5,0,808.148
1940-01-01,50.5,10.75,0,849.0385
1940-01-01,50.5,11.0,0,874.54333
1940-01-01,50.5,11.25,0,875.04175
1940-01-01,50.5,11.5,0,836.78503
1940-01-01,50.5,11.75,0,815.3911
1940-01-01,50.5,12.0,0,820.56
1940-01-01,50.5,12.25,0,861.0032
1940-01-01,50.5,12.5,0,932.0083
1940-01-01,50.5,12.75,0,892.12274
1940-01-01,50.5,13.0,0,882.17065
1940-01-01,50.5,13.25,0,739.7115
1940-01-01,50.5,13.5,0,627.4936
1940-01-01,50.5,13.75,0,532.66003
1940-01-01,50.5,14.0,0,521.28906
1940-01-01,50.5,14.25,0,528.2893
1940-01-01,50.5,14.5,0,548.3739
1940-01-01,50.5,14.75,0,607.49365
1940-01-01,50.5,15.0,0,656.4567
1940-01-01,50.75,5.75,0,775.54395
1940-01-01,50.75,6.0,0,786.8009
1940-01-01,50.75,6.25,0,808.35126
1940-01-01,50.75,6.5,0,728.0767
1940-01-01,50.75,6.75,0,713.5546
1940-01-01,50.75,7.0,0,747.08417
1940-01-01,50.75,7.25,0,829.5465
1940-01-01,50.75,7.5,0,939.01294
1940-01-01,50.75,7.75,0,968.1337
1940-01-01,50.75,8.0,0,960.1895
1940-01-01,50.75,8.25,0,871.2487
1940-01-01,50.75,8.5,0,778.69104
1940-01-01,50.75,8.75,0,700.9606
1940-01-01,50.75,9.0,0,739.10046
1940-01-01,50.75,9.25,0,768.3022
1940-01-01,50.75,9.5,0,795.90485
1940-01-01,50.75,9.75,0,816.5121
1940-01-01,50.75,10.0,0,829.3739
1940-01-01,50.75,10.25,0,851.4173
1940-01-01,50.75,10.5,0,874.32935
1940-01-01,50.75,10.75,0,885.9813
1940-01-01,50.75,11.0,0,864.86816
1940-01-01,50.75,11.25,0,829.31805
1940-01-01,50.75,11.5,0,784.05066
1940-01-01,50.75,11.75,0,765.7461
1940-01-01,50.75,12.0,0,764.92334
1940-01-01,50.75,12.25,0,797.97766
1940-01-01,50.75,12.5,0,837.14557
1940-01-01,50.75,12.75,0,887.1391
1940-01-01,50.75,13.0,0,909.2827
1940-01-01,50.75,13.25,0,873.6732
1940-01-01,50.75,13.5,0,818.2106
1940-01-01,50.75,13.75,0,727.95013
1940-01-01,50.75,14.0,0,692.7092
1940-01-01,50.75,14.25,0,675.5126
1940-01-01,50.75,14.5,0,687.4094
1940-01-01,50.75,14.75,0,769.93164
1940-01-01,50.75,15.0,0,874.73083
1940-01-01,51.0,5.75,0,656.94025
1940-01-01,51.0,6.0,0,652.218
1940-01-01,51.0,6.25,0,665.3152
1940-01-01,51.0,6.5,0,670.5523
1940-01-01,51.0,6.75,0,723.6931
1940-01-01,51.0,7.0,0,865.15454
1940-01-01,51.0,7.25,0,989.1079
1940-01-01,51.0,7.5,0,1112.4824
1940-01-01,51.0,7.75,0,1121.3014
1940-01-01,51.0,8.0,0,1082.6678
1940-01-01,51.0,8.25,0,938.7371
1940-01-01,51.0,8.5,0,824.26434
1940-01-01,51.0,8.75,0,725.5816
1940-01-01,51.0,9.0,0,706.3341
1940-01-01,51.0,9.25,0,708.0815
1940-01-01,51.0,9.5,0,756.8848
1940-01-01,51.0,9.75,0,765.10736
1940-01-01,51.0,10.0,0,752.4269
1940-01-01,51.0,10.25,0,734.18164
1940-01-01,51.0,10.5,0,719.7571
1940-01-01,51.0,10.75,0,703.5181
1940-01-01,51.0,11.0,0,686.3067
1940-01-01,51.0,11.25,0,667.61206
1940-01-01,51.0,11.5,0,700.77155
1940-01-01,51.0,11.75,0,726.4844
1940-01-01,51.0,12.0,0,730.6478
1940-01-01,51.0,12.25,0,717.8367
1940-01-01,51.0,12.5,0,691.87616
1940-01-01,51.0,12.75,0,734.096
1940-01-01,51.0,13.0,0,768.91327
1940-01-01,51.0,13.25,0,796.1102
1940-01-01,51.0,13.5,0,781.8053
1940-01-01,51.0,13.75,0,744.41437
1940-01-01,51.0,14.0,0,723.09973
1940-01-01,51.0,14.25,0,713.88556
1940-01-01,51.0,14.5,0,727.60034
1940-01-01,51.0,14.75,0,752.94324
1940-01-01,51.0,15.0,0,778.2838
1940-01-01,51.25,5.75,0,680.88104
1940-01-01,51.25,6.0,0,681.2842
1940-01-01,51.25,6.25,0,695.0383
1940-01-01,51.25,6.5,0,744.55615
1940-01-01,51.25,6.75,0,812.21265
1940-01-01,51.25,7.0,0,924.2204
1940-01-01,51.25,7.25,0,992.2528
1940-01-01,51.25,7.5,0,1055.7192
1940-01-01,51.25,7.75,0,1003.3405
1940-01-01,51.25,8.0,0,981.3566
1940-01-01,51.25,8.25,0,1056.571
1940-01-01,51.25,8.5,0,955.7743
1940-01-01,51.25,8.75,0,833.7624
1940-01-01,51.25,9.0,0,762.52747
1940-01-01,51.25,9.25,0,742.5881
1940-01-01,51.25,9.5,0,791.7018
1940-01-01,51.25,9.75,0,809.99194
1940-01-01,51.25,10.0,0,809.41455
1940-01-01,51.25,10.25,0,770.1349
1940-01-01,51.25,10.5,0,722.8856
