time,lat,lon,fire_weather_index (fwi)
1979-01-01,49.0,14.0,3.6360917
1979-01-01,49.0,14.25,4.471671
1979-01-01,49.0,14.5,5.0119
1979-01-01,49.0,14.75,5.278938
1979-01-01,49.0,15.0,5.249221
1979-01-01,49.25,5.75,3.8309054
1979-01-01,49.25,6.0,3.8707533
1979-01-01,49.25,6.25,3.8798163
1979-01-01,49.25,6.5,3.9700825
1979-01-01,49.25,6.75,4.1313596
1979-01-01,49.25,7.0,4.2284284
1979-01-01,49.25,7.25,4.1148515
1979-01-01,49.25,7.5,3.5432935
1979-01-01,49.25,7.75,3.1075559
1979-01-01,49.25,8.0,3.388835
1979-01-01,49.25,8.25,4.3070183
1979-01-01,49.25,8.5,5.069802
1979-01-01,49.25,8.75,4.961975
1979-01-01,49.25,9.0,4.3251843
1979-01-01,49.25,9.25,3.952027
1979-01-01,49.25,9.5,3.8153226
1979-01-01,49.25,9.75,3.7694564
1979-01-01,49.25,10.0,3.67421
1979-01-01,49.25,10.25,3.5949228
1979-01-01,49.25,10.5,3.665152
1979-01-01,49.25,10.75,3.840506
1979-01-01,49.25,11.0,4.1038857
1979-01-01,49.25,11.25,4.1590385
1979-01-01,49.25,11.5,4.2168036
1979-01-01,49.25,11.75,4.4709682
1979-01-01,49.25,12.0,4.562992
1979-01-01,49.25,12.25,4.566143
1979-01-01,49.25,12.5,4.096106
1979-01-01,49.25,12.75,3.6924653
1979-01-01,49.25,13.0,3.427366
1979-01-01,49.25,13.25,3.4719994
1979-01-01,49.25,13.5,3.7563503
1979-01-01,49.25,13.75,4.0904555
1979-01-01,49.25,14.0,4.401126
1979-01-01,49.25,14.25,4.6218567
1979-01-01,49.25,14.5,4.6573257
1979-01-01,49.25,14.75,4.5245523
1979-01-01,49.25,15.0,4.3365717
1979-01-01,49.5,5.75,3.7734377
1979-01-01,49.5,6.0,3.6188753
1979-01-01,49.5,6.25,3.3644712
1979-01-01,49.5,6.5,3.1564064
1979-01-01,49.5,6.75,2.8855882
1979-01-01,49.5,7.0,2.9802372
1979-01-01,49.5,7.25,3.4177732
1979-01-01,49.5,7.5,3.8681207
1979-01-01,49.5,7.75,4.0596113
1979-01-01,49.5,8.0,4.104824
1979-01-01,49.5,8.25,4.129651
