time,lat,lon,realization,maximum_five_days_precipitation (tp)
1940-01-01,50.0,10.5,0,57.082893
1940-01-01,50.0,10.75,0,58.063507
1940-01-01,50.0,11.0,0,63.859703
1940-01-01,50.0,11.25,0,76.36022
1940-01-01,50.0,11.5,0,68.7101
1940-01-01,50.0,11.75,0,64.25572
1940-01-01,50.0,12.0,0,66.47348
1940-01-01,50.0,12.25,0,60.143475
1940-01-01,50.0,12.5,0,50.5054
1940-01-01,50.0,12.75,0,46.2575
1940-01-01,50.0,13.0,0,43.45775
1940-01-01,50.0,13.25,0,41.187286
1940-01-01,50.0,13.5,0,42.261124
1940-01-01,50.0,13.75,0,43.937683
1940-01-01,50.0,14.0,0,44.62004
1940-01-01,50.0,14.25,0,44.81411
1940-01-01,50.0,14.5,0,48.486946
1940-01-01,50.0,14.75,0,49.064636
1940-01-01,50.0,15.0,0,44.956448
1940-01-01,50.25,5.75,0,108.772995
1940-01-01,50.25,6.0,0,108.81019
1940-01-01,50.25,6.25,0,102.340935
1940-01-01,50.25,6.5,0,94.59471
1940-01-01,50.25,6.75,0,83.710434
1940-01-01,50.25,7.0,0,73.870186
1940-01-01,50.25,7.25,0,67.32464
1940-01-01,50.25,7.5,0,67.983154
1940-01-01,50.25,7.75,0,77.396385
1940-01-01,50.25,8.0,0,84.5232
1940-01-01,50.25,8.25,0,79.31018
1940-01-01,50.25,8.5,0,72.76177
1940-01-01,50.25,8.75,0,70.48869
1940-01-01,50.25,9.0,0,99.12324
1940-01-01,50.25,9.25,0,113.062386
1940-01-01,50.25,9.5,0,105.928185
1940-01-01,50.25,9.75,0,90.77836
1940-01-01,50.25,10.0,0,72.70456
1940-01-01,50.25,10.25,0,67.13939
1940-01-01,50.25,10.5,0,63.177826
1940-01-01,50.25,10.75,0,65.78825
1940-01-01,50.25,11.0,0,67.03234
1940-01-01,50.25,11.25,0,81.169846
1940-01-01,50.25,11.5,0,70.939064
1940-01-01,50.25,11.75,0,63.20382
1940-01-01,50.25,12.0,0,66.12302
1940-01-01,50.25,12.25,0,59.828285
1940-01-01,50.25,12.5,0,54.199696
1940-01-01,50.25,12.75,0,48.290253
1940-01-01,50.25,13.0,0,44.42549
1940-01-01,50.25,13.25,0,42.538643
1940-01-01,50.25,13.5,0,38.73539
1940-01-01,50.25,13.75,0,39.525986
1940-01-01,50.25,14.0,0,40.556908
1940-01-01,50.25,14.25,0,38.568497
1940-01-01,50.25,14.5,0,35.949707
1940-01-01,50.25,14.75,0,36.517143
1940-01-01,50.25,15.0,0,36.31854
1940-01-01,50.5,5.75,0,109.96222
1940-01-01,50.5,6.0,0,109.83826
1940-01-01,50.5,6.25,0,104.10929
1940-01-01,50.5,6.5,0,89.26702
1940-01-01,50.5,6.75,0,76.58267
1940-01-01,50.5,7.0,0,77.29936
1940-01-01,50.5,7.25,0,86.41196
1940-01-01,50.5,7.5,0,94.194885
1940-01-01,50.5,7.75,0,102.469925
1940-01-01,50.5,8.0,0,99.7088
1940-01-01,50.5,8.25,0,87.875114
1940-01-01,50.5,8.5,0,80.5502
1940-01-01,50.5,8.75,0,73.27342
1940-01-01,50.5,9.0,0,94.57898
1940-01-01,50.5,9.25,0,108.416794
1940-01-01,50.5,9.5,0,95.56651
1940-01-01,50.5,9.75,0,88.8989
1940-01-01,50.5,10.0,0,71.163414
1940-01-01,50.5,10.25,0,66.80632
1940-01-01,50.5,10.5,0,63.62796
1940-01-01,50.5,10.75,0,67.390205
1940-01-01,50.5,11.0,0,65.682175
1940-01-01,50.5,11.25,0,60.82225
1940-01-01,50.5,11.5,0,52.576065
1940-01-01,50.5,11.75,0,52.587032
1940-01-01,50.5,12.0,0,57.740692
1940-01-01,50.5,12.25,0,61.783318
1940-01-01,50.5,12.5,0,65.86122
1940-01-01,50.5,12.75,0,60.095306
1940-01-01,50.5,13.0,0,56.2749
1940-01-01,50.5,13.25,0,50.419334
1940-01-01,50.5,13.5,0,44.564484
1940-01-01,50.5,13.75,0,39.1643
1940-01-01,50.5,14.0,0,36.57579
1940-01-01,50.5,14.25,0,36.242245
1940-01-01,50.5,14.5,0,37.48774
1940-01-01,50.5,14.75,0,36.69477
1940-01-01,50.5,15.0,0,43.055058
1940-01-01,50.75,5.75,0,75.72889
1940-01-01,50.75,6.0,0,74.43022
1940-01-01,50.75,6.25,0,71.28215
1940-01-01,50.75,6.5,0,65.88173
1940-01-01,50.75,6.75,0,65.6023
1940-01-01,50.75,7.0,0,70.18041
1940-01-01,50.75,7.25,0,87.48674
1940-01-01,50.75,7.5,0,108.76512
1940-01-01,50.75,7.75,0,106.49561
1940-01-01,50.75,8.0,0,103.46365
1940-01-01,50.75,8.25,0,87.41904
1940-01-01,50.75,8.5,0,74.56709
1940-01-01,50.75,8.75,0,62.781334
1940-01-01,50.75,9.0,0,68.92227
1940-01-01,50.75,9.25,0,72.79683
1940-01-01,50.75,9.5,0,75.28783
1940-01-01,50.75,9.75,0,73.42339
1940-01-01,50.75,10.0,0,69.48018
1940-01-01,50.75,10.25,0,65.07015
1940-01-01,50.75,10.5,0,61.85865
1940-01-01,50.75,10.75,0,58.935173
1940-01-01,50.75,11.0,0,55.293327
1940-01-01,50.75,11.25,0,49.63016
1940-01-01,50.75,11.5,0,47.378063
1940-01-01,50.75,11.75,0,48.39039
1940-01-01,50.75,12.0,0,47.070503
1940-01-01,50.75,12.25,0,52.82593
1940-01-01,50.75,12.5,0,60.503006
1940-01-01,50.75,12.75,0,59.03053
1940-01-01,50.75,13.0,0,63.900948
1940-01-01,50.75,13.25,0,64.90254
1940-01-01,50.75,13.5,0,57.573795
1940-01-01,50.75,13.75,0,43.800354
1940-01-01,50.75,14.0,0,45.67074
1940-01-01,50.75,14.25,0,47.52922
1940-01-01,50.75,14.5,0,45.75205
1940-01-01,50.75,14.75,0,50.86803
1940-01-01,50.75,15.0,0,58.98452
1940-01-01,51.0,5.75,0,62.692406
1940-01-01,51.0,6.0,0,61.379906
1940-01-01,51.0,6.25,0,59.99994
1940-01-01,51.0,6.5,0,61.024906
1940-01-01,51.0,6.75,0,69.86141
1940-01-01,51.0,7.0,0,88.49883
1940-01-01,51.0,7.25,0,102.482796
1940-01-01,51.0,7.5,0,115.133286
1940-01-01,51.0,7.75,0,114.54939
1940-01-01,51.0,8.0,0,109.055984
1940-01-01,51.0,8.25,0,93.111984
1940-01-01,51.0,8.5,0,81.6784
1940-01-01,51.0,8.75,0,72.39676
1940-01-01,51.0,9.0,0,68.340775
1940-01-01,51.0,9.25,0,67.20781
1940-01-01,51.0,9.5,0,72.83044
1940-01-01,51.0,9.75,0,72.31616
1940-01-01,51.0,10.0,0,68.9733
1940-01-01,51.0,10.25,0,63.351875
1940-01-01,51.0,10.5,0,58.678146
1940-01-01,51.0,10.75,0,56.186913
1940-01-01,51.0,11.0,0,56.04386
1940-01-01,51.0,11.25,0,56.04148
1940-01-01,51.0,11.5,0,53.611282
1940-01-01,51.0,11.75,0,51.041367
1940-01-01,51.0,12.0,0,52.354813
1940-01-01,51.0,12.25,0,46.59581
1940-01-01,51.0,12.5,0,45.55893
1940-01-01,51.0,12.75,0,54.052357
1940-01-01,51.0,13.0,0,58.744427
1940-01-01,51.0,13.25,0,56.90217
1940-01-01,51.0,13.5,0,53.292995
1940-01-01,51.0,13.75,0,48.832657
1940-01-01,51.0,14.0,0,47.769547
1940-01-01,51.0,14.25,0,47.032597
1940-01-01,51.0,14.5,0,48.415424
1940-01-01,51.0,14.75,0,49.324986
1940-01-01,51.0,15.0,0,48.273804
1940-01-01,51.25,5.75,0,50.312042
1940-01-01,51.25,6.0,0,52.309273
1940-01-01,51.25,6.25,0,56.773186
1940-01-01,51.25,6.5,0,63.210964
1940-01-01,51.25,6.75,0,72.34764
1940-01-01,51.25,7.0,0,83.70901
1940-01-01,51.25,7.25,0,86.06958
1940-01-01,51.25,7.5,0,92.86427
1940-01-01,51.25,7.75,0,88.709595
1940-01-01,51.25,8.0,0,88.078514
1940-01-01,51.25,8.25,0,96.68636
1940-01-01,51.25,8.5,0,86.68088
1940-01-01,51.25,8.75,0,74.76378
1940-01-01,51.25,9.0,0,72.80278
1940-01-01,51.25,9.25,0,72.722435
1940-01-01,51.25,9.5,0,77.700134
1940-01-01,51.25,9.75,0,80.67893
1940-01-01,51.25,10.0,0,81.4693
1940-01-01,51.25,10.25,0,75.81926
1940-01-01,51.25,10.5,0,71.09833
1940-01-01,51.25,10.75,0,68.65334
1940-01-01,51.25,11.0,0,66.964386
1940-01-01,51.25,11.25,0,63.841347
