time,lat,lon,realization,cooling_degree_days (data)
1940-01-01,50.5,5.75,0,9.774841
1940-01-01,50.5,6.0,0,6.4909973
1940-01-01,50.5,6.25,0,4.3771973
1940-01-01,50.5,6.5,0,5.515312
1940-01-01,50.5,6.75,0,7.706711
1940-01-01,50.5,7.0,0,13.496094
1940-01-01,50.5,7.25,0,14.407341
1940-01-01,50.5,7.5,0,18.465355
1940-01-01,50.5,7.75,0,16.28012
1940-01-01,50.5,8.0,0,13.9446945
1940-01-01,50.5,8.25,0,14.705963
1940-01-01,50.5,8.5,0,16.776855
1940-01-01,50.5,8.75,0,21.354973
1940-01-01,50.5,9.0,0,17.976173
1940-01-01,50.5,9.25,0,13.661789
1940-01-01,50.5,9.5,0,9.450989
1940-01-01,50.5,9.75,0,9.487267
1940-01-01,50.5,10.0,0,10.435936
1940-01-01,50.5,10.25,0,11.7798
1940-01-01,50.5,10.5,0,10.802856
1940-01-01,50.5,10.75,0,10.584007
1940-01-01,50.5,11.0,0,8.795197
1940-01-01,50.5,11.25,0,7.931595
1940-01-01,50.5,11.5,0,9.441338
1940-01-01,50.5,11.75,0,9.420219
1940-01-01,50.5,12.0,0,8.971649
1940-01-01,50.5,12.25,0,7.9079514
1940-01-01,50.5,12.5,0,5.970009
1940-01-01,50.5,12.75,0,3.5820007
1940-01-01,50.5,13.0,0,2.2992172
1940-01-01,50.5,13.25,0,4.5830917
1940-01-01,50.5,13.5,0,9.271706
1940-01-01,50.5,13.75,0,15.30072
1940-01-01,50.5,14.0,0,19.171791
1940-01-01,50.5,14.25,0,22.59636
1940-01-01,50.5,14.5,0,23.905952
1940-01-01,50.5,14.75,0,22.038826
1940-01-01,50.5,15.0,0,20.666801
1940-01-01,50.75,5.75,0,17.372864
1940-01-01,50.75,6.0,0,15.308762
1940-01-01,50.75,6.25,0,13.672699
1940-01-01,50.75,6.5,0,17.308014
1940-01-01,50.75,6.75,0,19.90422
1940-01-01,50.75,7.0,0,22.78019
1940-01-01,50.75,7.25,0,21.091576
1940-01-01,50.75,7.5,0,16.83387
1940-01-01,50.75,7.75,0,11.318932
1940-01-01,50.75,8.0,0,8.602234
1940-01-01,50.75,8.25,0,8.507019
1940-01-01,50.75,8.5,0,10.654892
1940-01-01,50.75,8.75,0,15.238098
1940-01-01,50.75,9.0,0,14.351913
1940-01-01,50.75,9.25,0,14.806831
1940-01-01,50.75,9.5,0,14.390892
1940-01-01,50.75,9.75,0,13.74929
1940-01-01,50.75,10.0,0,13.206734
1940-01-01,50.75,10.25,0,11.411499
1940-01-01,50.75,10.5,0,9.661247
1940-01-01,50.75,10.75,0,7.697365
1940-01-01,50.75,11.0,0,8.540138
1940-01-01,50.75,11.25,0,9.694923
1940-01-01,50.75,11.5,0,14.028481
1940-01-01,50.75,11.75,0,16.762505
1940-01-01,50.75,12.0,0,17.40361
1940-01-01,50.75,12.25,0,15.93235
1940-01-01,50.75,12.5,0,14.363106
1940-01-01,50.75,12.75,0,10.346657
1940-01-01,50.75,13.0,0,7.46817
1940-01-01,50.75,13.25,0,6.20047
1940-01-01,50.75,13.5,0,6.4222107
1940-01-01,50.75,13.75,0,8.270691
1940-01-01,50.75,14.0,0,11.0742035
1940-01-01,50.75,14.25,0,13.0214615
1940-01-01,50.75,14.5,0,14.448334
1940-01-01,50.75,14.75,0,12.518814
1940-01-01,50.75,15.0,0,10.187569
1940-01-01,51.0,5.75,0,25.64309
1940-01-01,51.0,6.0,0,24.076477
1940-01-01,51.0,6.25,0,23.361725
1940-01-01,51.0,6.5,0,26.1344
1940-01-01,51.0,6.75,0,26.618553
1940-01-01,51.0,7.0,0,22.956215
1940-01-01,51.0,7.25,0,17.07917
1940-01-01,51.0,7.5,0,11.177338
1940-01-01,51.0,7.75,0,7.2587967
1940-01-01,51.0,8.0,0,4.862053
1940-01-01,51.0,8.25,0,3.7115097
1940-01-01,51.0,8.5,0,4.9828644
1940-01-01,51.0,8.75,0,8.17598
1940-01-01,51.0,9.0,0,10.768127
1940-01-01,51.0,9.25,0,13.245621
1940-01-01,51.0,9.5,0,13.592476
1940-01-01,51.0,9.75,0,13.36248
1940-01-01,51.0,10.0,0,13.050041
1940-01-01,51.0,10.25,0,12.438553
1940-01-01,51.0,10.5,0,12.831177
1940-01-01,51.0,10.75,0,15.67173
1940-01-01,51.0,11.0,0,18.423027
1940-01-01,51.0,11.25,0,21.417114
1940-01-01,51.0,11.5,0,21.087563
1940-01-01,51.0,11.75,0,20.76532
1940-01-01,51.0,12.0,0,20.466507
1940-01-01,51.0,12.25,0,22.07228
1940-01-01,51.0,12.5,0,25.040901
1940-01-01,51.0,12.75,0,22.80037
1940-01-01,51.0,13.0,0,19.990334
1940-01-01,51.0,13.25,0,15.466568
1940-01-01,51.0,13.5,0,14.961937
1940-01-01,51.0,13.75,0,16.487442
1940-01-01,51.0,14.0,0,16.683525
1940-01-01,51.0,14.25,0,16.797318
1940-01-01,51.0,14.5,0,16.846306
1940-01-01,51.0,14.75,0,17.332878
1940-01-01,51.0,15.0,0,18.086685
1940-01-01,51.25,5.75,0,26.554428
1940-01-01,51.25,6.0,0,25.682442
1940-01-01,51.25,6.25,0,25.62313
1940-01-01,51.25,6.5,0,23.926949
1940-01-01,51.25,6.75,0,22.696281
1940-01-01,51.25,7.0,0,18.8526
1940-01-01,51.25,7.25,0,14.636108
1940-01-01,51.25,7.5,0,10.350983
1940-01-01,51.25,7.75,0,8.3654175
1940-01-01,51.25,8.0,0,6.6130447
1940-01-01,51.25,8.25,0,3.829361
1940-01-01,51.25,8.5,0,4.078079
1940-01-01,51.25,8.75,0,4.6441574
1940-01-01,51.25,9.0,0,7.665283
1940-01-01,51.25,9.25,0,9.862251
1940-01-01,51.25,9.5,0,11.257263
